url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),"MAISANO, KAREN LYNN",(DEM),"58,623","BROWN, TODD EVERETT",(REP),"65,742","PARSONS, CHRISTINA MARIE",(REP),"65,497","MCLAUGHLIN, SHAWN P.",(REP),"64,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,3rd Judicial District (Northampton County),"PANELLA, BRIAN",(DEM),"38,222","AAROE, NANCY",(REP),"32,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,6th Judicial District (Erie County),"SALA, PETER J",(DEM),"35,341","MIKOVCH, ERIC JAMES",(REP),"25,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,7th Judicial District (Bucks County),"WEINTRAUB, MATTHEW D",(D/R),"172,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,8th Judicial District (Northumberland County),"TOOMEY, MICHAEL P",(D/R),"16,290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,12th Judicial District (Dauphin County),"WILLIAMS, LA TASHA CHERENE",(DEM),"31,036","POWELL, COURTNEY KISHEL",(REP),"33,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,14th Judicial District (Fayette County),"MEHALOV, MARK M",(D/R),"23,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,15th Judicial District (Chester County),"BLACK, SARAH B",(DEM),"88,667","RYAN, DEBORAH S",(DEM),"90,286","MADDOX, FREDDA D",(DEM),"84,337","FORZATO, NICOLE R",(DEM),"85,929","MCCABE, THOMAS",(DEM),"84,709","MINCARELLI, LOUIS A",(REP),"65,904","REDMOND, PJ",(REP),"64,509","RONGAUS, ANDREW M",(REP),"62,566","KOHLER, DONALD F JR",(REP),"63,080","BLACK, DAVID L",(REP),"62,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,17th Judicial District (Snyder & Union Counties),"PIECUCH, MICHAEL",(D/R),"13,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,19th Judicial District (York County),"MARGETAS, KELLEY LYNN",(REP),"65,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,20th Judicial District (Huntingdon County),"ZANIC, GEORGE NICHOLAS",(D/R),"8,601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,21st Judicial District (Schuylkill County),"OPAKE, MICHAEL A",(DEM),"14,103","BURKE, WILLIAM L",(REP),"19,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,23rd Judicial District (Berks County),"SCHEIDT, JILL",(D/R),"57,210","BODOR, JUSTIN D",(D/R),"49,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,24th Judicial District (Blair County),"CONSIGLIO, DAVID B",(D/R),"17,681","MILLER, FRED B",(D/R),"17,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,26th Judicial District (Columbia & Montour Counties),"KNECHT, RICHARD W.",(D/R),"16,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,28th Judicial District (Venango County),"KIRTLAND, MATTHEW T",(D/R),"9,668","FLEEGER, JUSTIN S",(D/R),"7,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,29th Judicial District (Lycoming County),"PULIZZI, ANDREA",(DEM),"6,832","CARLUCCI, WILLIAM P",(D/R),"12,060","GARDNER, RYAN C",(REP),"17,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,32nd Judicial District (Delaware County),"BERRY, RACHEL EZZELL",(DEM),"89,881","SUTPHIN, DAWN GETTY",(REP),"60,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,38th Judicial District (Montgomery County),"RONCA, DANIEL G",(DEM),"160,400","ROSENBAUM, CHARLES",(REP),"87,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,45th Judicial District (Lackawanna County),"RUGGIERO, FRANK J",(D/R),"42,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,47th Judicial District (Cambria County),"SLOAN, TIMOTHY J",(DEM),"14,828","CARBONARA, MICHAEL A",(D/R),"16,791","FORDHAM, FORREST B III",(REP),"19,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,49th Judicial District (Centre County),"RATER, JULIA R",(D/R),"32,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,50th Judicial District (Butler County),"PALUMBI, MAURA L",(D/R),"40,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,52nd Judicial District (Lebanon County),"RYLAND-TANNER, MEGAN ELIZABETH",(DEM),"12,624","BRIGHTBILL, DONNA LONG",(REP),"16,939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas,58th Judicial District (Mifflin County),"REED, JONATHAN",(D/R),"7,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),"SPAHN, MERRILL M JR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,441","30,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),3rd Judicial District (Northampton County),"SLETVOLD, JENNIFER R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,996","23,918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),7th Judicial District (Bucks County),"FRITSCH, C THEODORE JR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,930","63,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),10th Judicial District (Westmoreland County),"BILIK-DEFAZIO, MEAGAN",,,"FELICIANI, CHRISTOPHER A",,,,,,,,,,,,,,,,,,,,,,,,,,,"58,972","21,156","57,940","21,218",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),12th Judicial District (Dauphin County),"EVANS, SCOTT ARTHUR",,,"TULLY, WILLIAM T",,,,,,,,,,,,,,,,,,,,,,,,,,,"39,100","16,019","38,818","16,573",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),14th Judicial District (Fayette County),"CORDARO, LINDA",,,"GEORGE, JOSEPH M JR",,,,,,,,,,,,,,,,,,,,,,,,,,,"16,121","6,604","16,303","6,192",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),15th Judicial District (Chester County),"CARMODY, PATRICK",,,"HALL, JOHN L",,,,,,,,,,,,,,,,,,,,,,,,,,,"89,461","45,228","92,495","41,492",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),19th Judicial District (York County),"PLATTS, TODD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,010","19,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),23rd Judicial District (Berks County),"FUDEMAN, MADELYN S",,,"JOHNSON, THERESA",,,,,,,,,,,,,,,,,,,,,,,,,,,"45,819","24,299","50,283","19,808",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),24th Judicial District (Blair County),"DOYLE, ELIZABETH A",,,"KAGARISE, WADE A",,,,,,,,,,,,,,,,,,,,,,,,,,,"11,898","12,377","18,755","4,983",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),25th Judicial District (Clinton County),"SALISBURY, MICHAEL F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,214","1,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),27th Judicial District (Washington County),"COSTANZO, VALARIE",,,"LUCAS, MICHAEL",,,,,,,,,,,,,,,,,,,,,,,,,,,"31,230","18,412","30,555","18,350",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),31st Judicial District (Lehigh County),"JOHNSON, J BRIAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,761","14,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),32nd Judicial District (Delaware County),"CAPPELLI, RICHARD M",,,"DOZOR, BARRY C",,,"MACKRIDES, WILLIAM CHIP",,,,,,,,,,,,,,,,,,,,,,,,"82,747","54,869","79,438","57,653","77,700","58,989",,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),35th Judicial District (Mercer County),"WALLACE, DANIEL P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,375","4,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),36th Judicial District (Beaver County,"MANCINI, RICHARD",,,"ROSS, JAMES J",,,,,,,,,,,,,,,,,,,,,,,,,,,"28,706","10,457","28,675","10,392",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),38th Judicial District (Montgomery County),"CARPENTER, WILLIAM RICHARD",,,"O'NEILL, STEVEN T",,,"ROGERS, THOMAS P",,,"TOLLIVER, STEVEN C SR",,,"WEILHEIMER, GAIL A",,,,,,,,,,,,,,,,,,"162,029","48,661","166,433","46,011","163,360","48,372","163,301","48,523","167,458","45,435",,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),39th Judicial District (Franklin & Fulton Counties),"ZOOK, JEREMIAH D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,430","6,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),45th Judicial District (Lackawanna County),"GIBBONS, JAMES A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,253","10,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas (Retention),46th Judicial District (Clearfield County),"CHERRY , PAUL E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,321","4,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=49&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas - Philadelphia,1st Judicial District (Philadelphia County),"TAYLOR-SMITH, E NATASHA",(DEM),"201,305","WASHINGTON, TAMIKA N",(DEM),"204,468","WILLIAMS, SAMANTHA JOY",(DEM),"190,770","YU, KAY KYUNGSUN",(DEM),"184,706","PADOVA, JOHN",(DEM),"181,310","LIGHTSEY, CHESLEY A",(DEM),"175,248","MCLAUGHLIN, BRIAN E",(DEM),"181,161","GARCIA, DAMARIS L",(DEM),"141,108","TURNER, CAROLINE M",(DEM),"152,850","BROWN, JESSICA R",(DEM),"155,170",,,,,,,,,,,"EISENHOWER, JAMES J",(DEM),"138,927","ROSS, ELVIN PETER III",(DEM),"128,519","SANDHER, RAJINDERPAL",(DEM),"124,315",,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=49&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas - Philadelphia (Retention),1st Judicial District (Philadelphia County),"ALLEN, JACQUELINE F",,,"CAMPBELL, GIOVANNI O",,,"COYLE, ANNE MARIE B",,,"DJERASSI, RAMY I",,,"FERNANDES, JOSEPH L",,,"FORD, HOLLY J",,,"LANE, TIMIKA",,,"O'KEEFE, J SCOTT",,,"PATRICK, PAULA A",,,"STREET, SIERRA THOMAS",,,"168,514","45,807","153,143","50,498","125,964","90,072","135,373","60,002","144,481","50,690","WRIGHT, NINA N",,,,,,,,,"144,729","49,952","186,747","40,693","145,119","50,162","132,708","71,810","158,002","47,168","155,788","43,854"
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=50&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas - Allegheny,5th Judicial District (Allegheny County),"SWEENEY, PATRICK ALLEN",(DEM),"213,104","DELUCA, R ANTHONY",(REP),"147,562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=50&ElectionID=100&ElectionType=G&IsActive=0,2023 Municipal Election,Judge of the Court of Common Pleas - Allegheny (Retention),5th Judicial District (Allegheny County),"BUSH, ELEANOR L",,,"COZZA, PAUL E",,,"O'TOOLE, LAWRENCE JOSEPH",,,"RANGOS, JILL E",,,"SATLER, JENNIFER",,,"WARD, CHRISTINE",,,,,,,,,,,,,,,"208,476","95,336","198,757","102,785","199,872","101,495","208,537","95,717","206,046","96,016",,,,,,,,,,"213,098","90,399",,,,,,,,,,
